cd_mun,NM_MUN,SIGLA_UF,NM_REGIAO,pop,icm_faixa,icm_total,dim1,dim2,dim3,porte,perfil_risco,grupo,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
2516755,Tenório,PB,Nordeste,3082.0,B,6.0,2.0,3.0,1.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2500403,Alagoa Nova,PB,Nordeste,21823.0,B,16.0,6.0,6.0,4.0,Pequeno,Prioritário,prioritario,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1507706,São Sebastião da Boa Vista,PA,Norte,27651.0,D,5.0,0.0,3.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5103809,Figueirópolis D'Oeste,MT,Centro-oeste,3056.0,D,1.0,0.0,1.0,0.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2922052,Mulungu do Morro,BA,Nordeste,13648.0,D,6.0,0.0,5.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2410207,Portalegre,RN,Nordeste,7859.0,D,5.0,0.0,3.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
3142809,Monte Alegre de Minas,MG,Sudeste,20708.0,D,4.0,0.0,3.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1716109,Paraíso do Tocantins,TO,Norte,55704.0,A,14.0,6.0,5.0,3.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2807501,Tomar do Geru,SE,Nordeste,12094.0,D,4.0,0.0,2.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2304608,General Sampaio,CE,Nordeste,6929.0,D,3.0,0.0,2.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3510005,Cândido Mota,SP,Sudeste,30157.0,A,17.0,7.0,5.0,5.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3502606,Aparecida d'Oeste,SP,Sudeste,4112.0,D,5.0,0.0,3.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2516607,Tavares,PB,Nordeste,14473.0,B,9.0,4.0,4.0,1.0,Pequeno,Não Prioritário,pequeno,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2913903,Ipiaú,BA,Nordeste,42429.0,C,11.0,4.0,5.0,2.0,Pequeno,Prioritários,prioritario,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
3110103,Caiana,MG,Sudeste,5484.0,D,5.0,1.0,3.0,1.0,Pequeno,Prioritário,prioritario,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4209904,Lontras,SC,Sul,13829.0,B,17.0,6.0,6.0,5.0,Pequeno,Prioritário,prioritario,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4307831,Eugênio de Castro,RS,Sul,2683.0,B,6.0,2.0,3.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4128658,Virmond,PR,Sul,3828.0,A,17.0,8.0,4.0,5.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4112306,Japira,PR,Sul,5054.0,A,11.0,4.0,4.0,3.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2930204,Sento Sé,BA,Nordeste,40232.0,B,7.0,2.0,3.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
